precision,recall,fbeta,feature,value
1.0,1.0,1.0,native-country,Portugal
0.2,0.3333333333333333,0.25,native-country,Jamaica
0.8461538461538461,0.55,0.6666666666666667,native-country,Philippines
0.5,0.3333333333333333,0.4,native-country,Puerto-Rico
0.6666666666666666,0.75,0.7058823529411765,native-country,India
0.3333333333333333,0.75,0.46153846153846156,native-country,South
0.3333333333333333,0.25,0.28571428571428575,native-country,England
0.6666666666666666,0.6,0.631578947368421,native-country,China
1.0,1.0,1.0,native-country,Scotland
1.0,0.75,0.8571428571428571,native-country,Hong
1.0,1.0,1.0,native-country,Thailand
0.5,0.5,0.5,native-country,Japan
1.0,1.0,1.0,native-country,Dominican-Republic
1.0,1.0,1.0,native-country,Columbia
1.0,0.25,0.4,native-country,El-Salvador
1.0,0.5,0.6666666666666666,native-country,Guatemala
0.7,1.0,0.8235294117647058,native-country,Taiwan
1.0,0.0,0.0,native-country,Cambodia
0.6666666666666666,0.5,0.5714285714285715,native-country,Germany
0.75,0.8571428571428571,0.7999999999999999,native-country,Italy
0.75,1.0,0.8571428571428571,native-country,France
0.6,0.75,0.6666666666666665,native-country,Greece
0.5714285714285714,0.5,0.5333333333333333,native-country,Cuba
0.5,0.2,0.28571428571428575,native-country,Yugoslavia
0.5,0.3333333333333333,0.4,native-country,Poland
1.0,0.0,0.0,native-country,Ireland
1.0,0.0,0.0,native-country,Trinadad&Tobago
1.0,1.0,1.0,native-country,Honduras
0.25,1.0,0.4,native-country,Iran
1.0,1.0,1.0,native-country,Hungary
1.0,1.0,1.0,native-country,Ecuador
0.6666666666666666,1.0,0.8,native-country,Haiti
1.0,1.0,1.0,native-country,Laos
1.0,0.0,0.0,native-country,Nicaragua
1.0,1.0,1.0,native-country,Outlying-US(Guam-USVI-etc)
1.0,1.0,1.0,native-country,Peru
1.0,1.0,1.0,native-country,Holand-Netherlands
